corpusid|source|window|senseid  
278905263|chile_tech|Además, presenta un sistema de copiado de transferencia electrostática en seco y un alimentador automático de originales de doble cara en configuración estándar.|SIDE
279206286|chile_tech|Cuando se trata de aplicaciones de tipo gráfico, la AcuLáser ofrece la opción de imprimir pequeños mailings y ediciones cortas como revistas internas, promocionales, catálogos, ofertas, etc., tanto en entornos corporativos como en empresas de servicios gráficos, edición o impresión, destacando por la flexibilidad que ofrece en el uso y manejo de el papel que puede imprimir por ambas caras.|SIDE
279235845|chile_tech|Fibramold, empresa dedicada a producir doorskins o caras de puertas y puertas, adquirió el software Progression Series de Macola, representado en Chile por Exxis S.A., para automatizar las áreas de Administración, Comercialización y Manufactura.|SIDE
279465863|chile_tech|Los usuarios pueden beneficiarse de las diferentes funciones de acabado tales como impresión de folletos y por ambas caras de el papel.|SIDE
279466526|chile_tech|Todos los nuevos modelos ofrecen velocidades rápidas de impresión para su clase, tanto en impresión a una cara como a doble faz, produciendo la primera página en muy corto tiempo.|SIDE
280160986|capital|Cara de avestruz|FACE
280174658|capital|Uno se topa con caras conocidas (el actor E.G. Marshall, la escritora Elena Garro) y, casi siempre, con total desconocidos abogados, jueces, doctores, editores, científicos, alcaldes, profesores.|FACE
280182894|capital|Miro las  caras.|FACE
280194893|capital|El objetivo es que los estadounidenses adquieran videos, ropa y regalos con la cara de Mickey y preparen sus vacaciones en los parques de atracciones a través de internet.|FACE
280201593|capital|Sus acciones, sus  caras  y los veredictos que consiguen para sus defendidos son las razones de que los abogados sean tan mal considerados en Estados Unidos.|FACE
280213396|capital|Las  caras  nuevas son las de Sobral; Alberto Hirmas, cuya familia tiene casi un 3 %; Reinaldo Solari tío de Cúneo y accionista de Falabella y Juan Bilbao, que iría representando a Penta.|FACE
280224120|capital|Entre las  caras  nuevas de El Mercurio destacan Jorge Lesser, quien hace dos meses asumió la dirección de Empresas El Mercurio ; Felipe Lehuedé, que entró en febrero a reemplazar a Manuel Labra, asesor de la presidencia de el diario y de Agustín Edwards en sus negocios personales, y terminó ocupando la gerencia general de el diario , tras la renuncia de Fernando Cisternas.|FACE
280505531|capital|Todos con cara de expectación.|FACE
280519379|capital|A lo mejor su cara de chico travieso no es para tanto.|FACE
289607541|diario_financiero|La superficie exterior de la misma queda siempre hacia arriba y la cara interior bien protegida.|SIDE
280947210|diario_financiero|En la otra cara de la moneda, el peor desempeño y el mercado menos cotizado es Colombia.|SIDE
281048504|diario_financiero|Se trató de la primera reunión en la cual se vieron las caras quienes, por una u otra razón, tienen compromisos impagos tanto con la entidad en falencia como con varios de los otros  capítulos legales o no de el holding de el procesado Eduardo Monasterio.|FACE
281048613|diario_financiero|Y aunque hubo algunas caras largas entre los acreedores más pequeños cuando se confirmó que Corfo había verificado su deuda, gracias a una resolución de el ministro Patricio Villarroel lo que le dio derecho a ser acreedor, a la salida no se registraron mayores comentarios sobre el punto.|FACE
281232463|diario_financiero|Agregó que  ese ha sido el debate que en estos días, la opinión pública ha visto un debate que tiene dos caras. Por una parte en Chile han bajado los impuestos, porque antes se pagaba un 6 % de impuestos por las cosas que se traían de Europa, ahora no se paga (...) y por otra parte, lo que estamos viendo es cómo vamos a buscar esos pesos para invertir los en los más modestos.|SIDE
281309446|diario_financiero|Allí los parlamentarios DC liderados por Zaldívar dijeron en la cara a Eyzaguirre que no darían sus votos para apoyar los impuestos específicos.|FACE
281429017|diario_financiero|Las caras sonrientes y las palabras de elogio con que el director gerente de el Fondo Monetario Internacional, Horst Koehler, puso fin a su visita a Argentina, el mes pasado, prometían una nueva era de entendimiento entre el gobierno trasandino y el organismo financiero.|FACE
281435014|diario_financiero|Anteriormente, uno hacía negocios y operaciones con gente que le veía la cara.|FACE
281463959|diario_financiero|Sanin critica que  las mujeres, sobre todo las jóvenes, están obligadas a demostrar que son buenas y que no ascienden por su cara bonita.|FACE
282363589|diario_financiero|En la otra cara de la moneda, los negociantes dejan para enero la búsqueda de empresas donde invertir y a el llegar esa fecha se preocupan y visitan la página web.|SIDE
282426406|diario_financiero|La otra cara de la medalla es que es posible que la economía de los países centrales, especialmente de Estados Unidos y Europa supere la fase semi recesiva de el último año, y ello nos permita recuperar tasas más altas de crecimiento.|SIDE
282464748|diario_financiero|Sin embargo, la simple aparición de caras nuevas no es garantía de éxito o seriedad en la gestión futura.|FACE
282480870|diario_financiero|El consumidor es muy preocupado de su cara y piel.|FACE
282773242|diario_financiero|Sin embargo, a mitad de el año, las caras de los actores de el negocio no eran las más felices.|FACE
283006436|diario_financiero|A medida que pasaban los minutos, se podía apreciar el nerviosismo en la cara de los representantes de las administradoras, dado que tras conversar con algunos tenedores de ADR se dieron cuenta que la meta de nombrar a dos directores también estaba en peligro.|FACE
283045889|diario_financiero|Esta vez fue la primera que la veía a fines de invierno, con frío y lluvia en Roma y Florencia y un viento helado que casi congelaba las pelucas, caretas y caras blancas que se paseaban ceremoniosamente por la Plaza San Marcos de Venecia.|FACE
311746626|estrella_valparaiso|El tripulante se esforzó por mantener su cara fuera de la superficie, pero pronto advirtió que no podía nadar con él hasta el muelle.|FACE
318109050|gran_valparaiso|El balde sólo le salía menos que medio y apenas alcanzaba para lavarse la cara y las manos.|FACE
318110008|gran_valparaiso|Martita salió corriendo y fue a lavarse la cara, la boca, las manos, el delantal chorreado y todo lo que guardaba ese olor inaguantable.|FACE
318124115|gran_valparaiso|La señora Paulita, mirando su cara sucia de lágrimas y las piernas enronchadas por los golpes, movía la cabeza con desaliento e impotencia.|FACE
318127008|gran_valparaiso|Se lavó las manos sudorosas y también la cara.|FACE
318130371|gran_valparaiso|La Srta. María se preocupó y se fijó que la niña tenía un enorme moretón en la cara.|FACE
318155653|gran_valparaiso|A muchas gentes ha bastado un telescopio para espantarse de la cara que vemos de la luna.|SIDE
318159980|gran_valparaiso|Consigue los primeros resultados sobre un pergamino, con tipos cúbicos y móviles de madera, unidos mediante un agujero lateral y con una de sus caras en relieve.|SIDE
318168567|gran_valparaiso|Y vulgarmente a el que ve lo que no se ve, como suele también decirse,  con los ojos de la cara a el que ve de ese modo se le dice que ve visiones; que ve lo que no ve, o, a el menos, lo que solamente él está viendo y no tiene, por tanto, para los demás, realidad alguna.|FACE
318168621|gran_valparaiso|Los  ojos de la cara no parecen que sean los mismos que los ojos de el alma, a el menos a primera vista.|FACE
318168650|gran_valparaiso|Con los ojos de la cara sólo vemos, naturalmente, todo lo que tenemos delante.|FACE
318168734|gran_valparaiso|Los poetas, desde Heráclito, no se cansaron de comparar el tiempo metafóricamente con los ríos, y a los ríos se les ve correr con los ojos de la cara.|FACE
439881649|lun|Nacido como Jeff Atkins y apenas un veinteañero con cara de ser una década mayor, Ja Rule fue respaldado por el prestigioso sello de rap Def Jam y en 1999 debutó con el disco Venni Vett Vecci, un trabajo de rtimos agresivos que incluía colaboraciones con otros gigantes de el hip-hop, como Jay-Z y DMX.|FACE
439891307|lun|Cuando un llamado requiere ser procesado con tacto empieza a balbucear, se le llena la cara de musarañas y descerraja toda clase de consultas inconducentes.|FACE
439897374|lun|A el hombre no se le movía ni un músculo de la cara y yo no me imaginaba cómo íbamos a negociar.|FACE
439897714|lun|Sin jamás haberse visto las caras se habían convertido en amigos de sangre a través de el chat y eso fue crucial para que el veinteañero trasandino no dudara en postular a Salinero, 30 años y editor de el semanario La Gironda, a el nuevo proyecto que tenía entre manos.|FACE
439930985|lun|Uribe negó con la cabeza y señaló Es tabaco.  ¿A ver?, dijo Allendes, dando una piteada y echando le una bocanada en la cara a María Gracia.|FACE
439935039|lun|Tapandose con una tarjeta que luego retiró, Bosé tomó la cara de la animadora y le dio un beso en la boca.|FACE
439950418|lun|Las imágenes de video captadas por el camarógrafo Mitch Crooks desde un hotel cercano muestran a un oficial blanco golpeando brutalmente contra un vehículo la cabeza de un joven negro de 16 años, esposado, mientras otro policía lo golpea en la cara.|FACE
439966816|lun|Uno de los que llegó a poner cara de espanto fue Demetrio Marinakis, dirigente de Santiago Morning, después de visitar ayer a el ex timonel de Colo Colo.|FACE
541081353|el_mercurio|En dos días más presentarán en sociedad su más reciente y orgulloso proyecto la Fundación Alma Mater (que incluye dos casas de acogida) y, junto a ella, su cara más visible el Club VMA.|SIDE
541097430|el_mercurio|Posiblemente, la única cara que regaló algo de alegría a los  millonarios fue la de Marcelo Salas, quien volvió a entrenar.|FACE
541186563|el_mercurio|Y todo lo grato de el momento se termina con uno o dos insoportables pinchazos en la cara o en la misma boca.|FACE
541191306|el_mercurio|Después de una hora de cirugía, el doctor Umaña sale de el pabellón con la satisfacción pintada en la cara.|FACE
547445963|el_mercurio|Sin embargo, el fenómeno no será visible en todo el país, pues los únicos que podrán observar la cara oscura de Venus, que aparecerá como una pequeña mancha esférica en la superficie de el Sol, serán los habitantes de Arica, Iquique y localidades de el altiplano nortino.|SIDE
478396484|el_mercurio|La cara poniente es ondeada y allí están todas las áreas de servicios de los bomberos.|SIDE
478464947|el_mercurio|En la otra cara de la moneda, y pese a no conseguir que las autoridades acogieran sus demandas aun cuando reconoció el error de el gremio de bloquear las arterias de Santiago; el presidente de el Consejo Superior de el Transporte, Manuel Navarrete, repitió el discurso de las últimas semanas en cuanto a que el sector que dirige no está en contra de la modernización que desea impulsar el Gobierno mediante el Plan Maestro de Transporte Urbano; y señaló que de ahora en adelante habrá dos caminos, uno para conversar la licitación de el próximo año, y el otro para seguir denunciando las irregularidades y falencias de el proceso Metrobús.|SIDE
498142020|el_mercurio|Su cara de desconcierto me conquistó en medio segundo.|FACE
498144729|el_mercurio|Sólo sonreí, y educadamente hice una seña, me di media vuelta y me fui... no podía dejar que vieran mi cara de vergüenza, ni su color.|FACE
498254252|el_mercurio|Un engendro extraño vestido con harapos, con la cara deformada por alguna explosión, por alguna enfermedad que no conozco.|FACE
498274158|el_mercurio|'No, por dios. Este señor es el Príncipe Andrés!', me dice la misma mujer mirando me con cara de asco.|FACE
498277224|el_mercurio|A medida que avanzo empiezo a sentir un olor raro, una fetidez que contrae los músculos de mi cara.|FACE
498297572|el_mercurio|Durante la celebración de la liturgia, los presentes vieron llegar a una joven que descubrió la cara de el muerto y lo besó, quedando allí reclinada hasta que en el momento de iniciar se el entierro fueron a apartarla y vieron que se trataba de Isabel de Segura.|FACE
608044736|la_tercera|El que volvió a las prácticas es Esteban Valencia Tenía una contractura en el isquiotibial (cara posterior de el muslo) izquierdo.|SIDE
608057881|la_tercera|En contraste, Tomás Jocelyn Holt se tomaba la cara e Ignacio Walker mostraba un dejo imborrable de amargura.|FACE
608097370|la_tercera|Cuando Vicuña señaló que sólo tendría actores y no caras bonitas, te molestaste mucho.|FACE
608146244|la_tercera|Porque lo que uno supo a través de las declaraciones de Rozental es que le dolía la cara lateral exterior de la rodilla, lo que puede deber se a una serie de otros problemas que no tiene nada que ver con la lesión original.|SIDE
608146677|la_tercera|Es un ligamento demasiado específico que va de el menisco externo, que pasa por delante de el ligamento cruzado y va a dar a la cara posterior de el cóndilo femoral.|SIDE
608213390|la_tercera|Aquel 24 de abril, cuando se inaugure la Junta Nacional extraordinaria, todos se verán las caras en la DC.|FACE 
608222332|la_tercera|Roja, con tres caras nuevas.|FACE
608222572|la_tercera|Así como aseguró que nadie está descartado, porque la lista definitiva sólo la entregaré a fines de abril o la primera semana de mayo, Acosta argumentó la nominaciones de las tres caras nuevas.|FACE
697465947|la_tercera|Tocarse la cara frecuentemente.|FACE
